n,S,Avg Key Comp,Avg Processing Time
1000000,5,11236498.8,1.519757934
1000000,6,11236564.2,1.5179015342
1000000,7,11292874.4,1.4892963221999984
1000000,8,11443453.6,1.4980451072000007
1000000,9,11443728.6,1.4396719829999995
1000000,10,11443858.0,1.5137250846
1000000,11,11443766.2,1.437039271400002
1000000,12,11443295.6,1.4468552435999982
1000000,13,11443575.0,1.4618847320000015
1000000,14,11443293.0,1.4521033098000005
1000000,15,11931555.4,1.4308487442
1000000,16,12133607.0,1.4370626382000011
1000000,17,12134601.8,1.4214964870000018
1000000,18,12133892.0,1.4314900317999986
1000000,19,12134858.6,1.4249830954000005
