n,S,Avg Key Comp,Avg Processing Time
10000000,5,221107090.0,45.192958680333334
10000000,6,221108613.0,45.684116670000016
10000000,7,221107141.66666666,43.90172649166667
10000000,8,221108977.66666666,43.16619379966672
10000000,9,223150944.33333334,42.92501703133329
10000000,10,226417362.0,42.98704956199996
10000000,11,226412419.33333334,43.32995737599996
10000000,12,226415369.0,44.08401997233333
10000000,13,226417662.66666666,43.48911488233322
10000000,14,226421154.0,44.16750640466671
10000000,15,226419134.33333334,45.185008746666654
10000000,16,226412709.66666666,44.74229582299995
10000000,17,226421006.33333334,42.83481807533334
10000000,18,226420422.66666666,43.87266760433332
10000000,19,240993503.0,45.88461500366657
