n,S,Avg Key Comp,Avg Processing Time
1000,5,5266.6,0.0006351444000000005
1000,6,5253.2,0.0006373866000000006
1000,7,5292.4,0.0006134858
1000,8,5479.0,0.0005721860000000002
1000,9,5473.2,0.0005693446000000011
1000,10,5468.4,0.0005725224000000001
1000,11,5501.4,0.0005634935999999993
1000,12,5459.2,0.0005632672000000005
1000,13,5491.8,0.0005713923999999995
1000,14,5483.4,0.0005663251999999993
1000,15,5697.2,0.0005689035999999995
1000,16,6161.8,0.0005612855999999986
1000,17,6198.0,0.0005734522000000006
1000,18,6241.0,0.0005806856000000026
1000,19,6207.4,0.0005659583999999968
