n,S,Avg Key Comp,Avg Processing Time
100000,5,922126.0,0.12624551
100000,6,932721.2,0.1025377196
100000,7,934793.2,0.10843373859999987
100000,8,934882.8,0.10962274860000001
100000,9,934875.4,0.10918679020000006
100000,10,934795.0,0.11280178020000005
100000,11,934609.0,0.10751780019999994
100000,12,971774.6,0.10414620140000004
100000,13,983650.0,0.10264146380000003
100000,14,984047.8,0.10026546460000016
100000,15,983742.4,0.0993139072
100000,16,983705.0,0.09896774860000015
100000,17,983457.0,0.09964985880000014
100000,18,983751.6,0.09930399659999978
100000,19,983435.4,0.09939072379999984
