n,S,Avg Key Comp,Avg Processing Time
10000,5,121539.33333333333,0.014498055000000001
10000,6,121514.66666666667,0.014166489333333346
10000,7,121587.66666666667,0.01440474433333333
10000,8,121439.0,0.014198439333333321
10000,9,122423.0,0.01403857533333334
10000,10,127010.0,0.013506704999999989
10000,11,127089.0,0.013700032333333315
10000,12,126962.33333333333,0.013643452333333342
10000,13,126973.66666666667,0.01357826299999998
10000,14,127046.0,0.013679903999999965
10000,15,127222.0,0.013610250000000046
10000,16,127045.0,0.013747638333333331
10000,17,127146.33333333333,0.013745533999999967
10000,18,127037.0,0.013562510000000009
10000,19,134311.66666666666,0.013491516666666667
