S,Avg Key Comp,Avg Processing Time
5,18727712.2,2.6342900502
6,18727416.2,2.6435506637999993
7,18820146.8,2.631544285599998
8,19071844.2,2.593236309199999
9,19073296.6,2.605028454399998
10,19071350.0,2.7956022775999996
11,19072893.2,2.7377878045999977
12,19072617.0,2.7813557027999964
13,19071559.0,2.840687067399995
14,19072903.8,2.654902717999994
15,19887110.4,2.6314916348000055
16,20223421.0,2.6452124680000053
17,20222998.2,2.612814764000001
18,20223966.4,2.6290527673999975
19,20224189.6,2.670515177599998
20,20226171.8,2.738919202799997
21,20223072.8,2.8068125968000004
22,20222132.6,2.797760510000006
23,20224096.8,2.8598514156000077
24,20226167.8,2.6654332300000076
25,20224220.6,2.6338298856000053
26,20223040.4,2.6336885925999924
27,20224962.4,2.5767865906
28,20223320.6,2.5838144153999907
29,20224596.6,2.756262580999987
30,21597816.6,2.774382824200006
31,23183685.2,2.8397745768000164
32,23187595.8,2.7074747015999945
33,23181861.4,2.878674875200011
34,23184926.8,2.7278586155999847
35,23187411.2,2.9523385087999943
36,23182990.6,2.950785464199998
37,23180193.2,3.0616961295999885
38,23181123.0,3.017767792399991
39,23186210.8,2.9532965607999584
40,23184118.4,2.743441060799978
41,23186855.2,2.935683147800023
42,23186508.6,2.981013323199977
43,23184762.4,2.8698536260000083
44,23185458.2,3.01881214739999
45,23188712.4,2.9565068392000056
46,23185585.0,2.7902775797999766
47,23183616.2,2.9117037107999977
48,23184689.4,2.9109598027999937
49,23185890.8,2.845570866400044
